check,status,detail
universe_readable,pass,Loaded 125 rows from configs/stock_universe_top125_yahoo.csv
universe_size,pass,Universe has 125 rows and 125 unique tickers.
universe_duplicates,pass,No duplicate tickers.
universe_missing_tickers,pass,No missing ticker values.
universe_sector_values,pass,No missing sectors.
training_data_readable,pass,Loaded 261993 rows from data/processed/training_data_top125_model_safe_with_global_macro.csv
training_duplicate_date_ticker,pass,No duplicate date/ticker rows.
training_missing_values,pass,Missing ratio 0.26%.
training_infinite_values,pass,No infinite numeric values.
training_ticker_coverage,pass,"Min rows 1293, median rows 2118.0."
training_date_coverage,pass,"Min names/date 119, median 125.0."
training_expected_features,pass,All expected technical features present.
training_universe_alignment,pass,Training tickers match universe.
training_target_variance,pass,Target std 0.048919.
leakage_multiple_target_columns,pass,Only one known target column.
leakage_suspicious_column_names,pass,No suspicious future/forward/target-like feature names outside known target columns.
leakage_high_target_correlation,pass,No numeric feature has abs corr >= 0.98 with target.
leakage_zero_variance_features,warn,"Zero-variance columns: ['macro_signal_score', 'macro_tone_score', 'surprise_num', 'inflation_num', 'growth_num', 'rate_policy_num', 'liquidity_num', 'reaction_quality_num', 'five_day_market_bias_score', 'five_day_bias_num', 'macro_confidence', 'has_macro_context', 'days_since_macro_event']"
leakage_extreme_return_like_values,warn,"Extreme return-like values: {'target_5d_return': 4, 'return_5d': 4, 'momentum_5d': 4, 'momentum_20d': 76}"
macro_features_present,pass,"Found macro columns: ['macro_signal_score', 'macro_tone_score', 'surprise_num', 'inflation_num', 'growth_num', 'rate_policy_num', 'liquidity_num', 'reaction_quality_num', 'five_day_market_bias_score']"
macro_same_date_consistency,pass,Macro columns are consistent across tickers by date.
macro_missing_values,pass,Macro missing ratio 0.00%.
